2.763174603	392.703	[1] 
2.768979592	392.838	[1] 
2.774784580	392.686	[1] 
2.780589569	392.659	[1] 
2.786394558	392.425	[1] 
2.792199546	392.269	[1] 
2.798004535	392.432	[1] 
2.803809524	392.427	[1] 
2.809614512	392.5	[1] 
2.815419501	392.273	[1] 
2.821224490	392.365	[1] 
2.827029478	392.361	[1] 
2.832834467	392.461	[1] 
2.838639456	392.433	[1] 
2.844444444	392.38	[1] 
2.850249433	392.527	[1] 
2.856054422	392.486	[1] 
2.861859410	392.513	[1] 
2.867664399	392.589	[1] 
2.873469388	392.588	[1] 
2.879274376	392.461	[1] 
2.885079365	392.518	[1] 
2.890884354	392.404	[1] 
2.896689342	392.423	[1] 
2.902494331	392.289	[1] 
2.908299320	392.188	[1] 
2.914104308	392.341	[1] 
2.919909297	392.305	[1] 
2.925714286	392.346	[1] 
2.931519274	392.297	[1] 
2.937324263	392.424	[1] 
2.943129252	392.274	[1] 
2.948934240	392.282	[1] 
2.954739229	392.132	[1] 
2.960544218	392.312	[1] 
2.966349206	392.312	[1] 
2.972154195	392.33	[1] 
2.977959184	392.36	[1] 
2.983764172	392.243	[1] 
2.989569161	392.169	[1] 
2.995374150	391.956	[1] 
3.001179138	392.147	[1] 
3.006984127	392.089	[1] 
3.012789116	392.211	[1] 
3.018594104	392.169	[1] 
3.024399093	392.127	[1] 
3.030204082	392.121	[1] 
3.036009070	391.917	[1] 
3.041814059	392.078	[1] 
3.047619048	392.153	[1] 
3.053424036	392.105	[1] 
3.059229025	392.045	[1] 
3.065034014	392.114	[1] 
3.070839002	391.944	[1] 
3.076643991	392.114	[1] 
3.082448980	392.064	[1] 
3.088253968	392.169	[1] 
3.094058957	392.165	[1] 
3.099863946	392.063	[1] 
3.105668934	392.131	[1] 
3.111473923	391.988	[1] 
3.117278912	392.209	[1] 
3.123083900	392.186	[1] 
3.128888889	392.315	[1] 
3.134693878	392.17	[1] 
3.140498866	392.164	[1] 
3.146303855	392.211	[1] 
3.152108844	392.533	[1] 
3.157913832	413.798	[1] 
3.163718821	422.482	[1] 
3.169523810	431.028	[1] 
3.175328798	428.692	[1] 
3.181133787	429.606	[1] 
3.186938776	430.695	[1] 
